,Feature Importances
1717,9.783624658228293e-05
1763,9.772868075006765e-05
1348,9.724754710428066e-05
18,8.400273008872789e-05
2510,8.378511911484487e-05
1891,8.374113521576427e-05
2590,8.370170803797965e-05
1994,8.360985551171844e-05
1500,8.33832764416187e-05
938,8.274727860577721e-05
906,8.226364452345477e-05
571,8.199908647892722e-05
469,8.18668736508377e-05
886,8.177909093307305e-05
2340,8.16604287172507e-05
282,8.162389817882481e-05
147,8.161343482696376e-05
1180,8.15466099531402e-05
1172,8.152798734787552e-05
930,8.150270614454002e-05
120,8.139055964907386e-05
255,8.138091791862492e-05
1378,8.135123328068244e-05
724,8.116798340830927e-05
1061,8.106856758480311e-05
2320,8.086628002476524e-05
1721,8.070145415734075e-05
2144,8.064247572400465e-05
705,8.060803474484253e-05
1727,8.059197532057242e-05
1204,8.057116000089522e-05
596,8.048919544341721e-05
1054,8.044173340333308e-05
1230,8.042206692158477e-05
884,8.026126714565641e-05
259,8.011698901236467e-05
2480,8.006017523501931e-05
1195,7.994957725525381e-05
584,7.978988194516031e-05
1388,7.969845868063921e-05
1601,7.961594783259803e-05
172,7.955995766273683e-05
486,7.952246758216908e-05
1571,7.910758278895249e-05
835,7.909092968997894e-05
2377,7.906139302468508e-05
216,7.894545703972647e-05
1341,7.877755766401374e-05
2186,7.868740991076249e-05
883,7.848451310476765e-05
771,7.847842409287622e-05
2287,7.808483010449077e-05
2102,7.798288902234177e-05
1570,7.792107362190897e-05
1850,7.77919586035649e-05
870,7.77755911802749e-05
1437,7.76457022360719e-05
2098,7.758096580842726e-05
1854,7.744750883385651e-05
2556,7.716834888125355e-05
213,7.667425422307417e-05
2650,7.642720969971252e-05
754,7.608258710614749e-05
1609,7.560245707985511e-05
2097,7.514284968820938e-05
47,7.425390775692286e-05
512,7.351373641583632e-05
1998,7.311659485572527e-05
48,7.217755982985193e-05
301,7.158703230737684e-05
1639,7.154595150525976e-05
1868,7.152729399580523e-05
2277,6.811051631036935e-05
2414,6.706662125697517e-05
264,6.672922531539985e-05
891,6.607875677539036e-05
820,6.303679773067528e-05
1448,6.28058514118232e-05
1166,6.274345768738072e-05
2050,6.264192310703937e-05
427,6.260270756710229e-05
196,6.259291135278928e-05
