,MI Scores
1236,0.18174068311347025
151,0.1810933058763844
594,0.18109180057927254
387,0.1800371157418943
1256,0.17788011307742657
2399,0.17763247989118813
16,0.17670346435179018
321,0.17624784707901364
426,0.1746916601694144
676,0.17451387667926177
1868,0.17372620290965557
2452,0.17062923139045427
970,0.1704057584202059
2140,0.1702185568091048
813,0.16952225825365197
2374,0.16926187502369228
2070,0.1669941936659054
2206,0.1668577908428519
319,0.16617224417983234
55,0.16611530383433637
1316,0.16597320549404238
397,0.16467584858285989
296,0.1642848495767084
104,0.16419151691183975
2100,0.16397016986790502
1698,0.16370886948308172
409,0.16357649004196695
1102,0.16343629433183615
447,0.16331659633298257
508,0.1626125465514936
2357,0.16176255369060444
2589,0.16058661024105225
2418,0.1593416201744713
1123,0.15732398888652988
881,0.15641259212400316
1057,0.15352643186349546
776,0.15308300886157644
398,0.1508635550074775
2390,0.149497245212177
1060,0.14947774160834015
400,0.1492370498296598
2224,0.1485397643484938
1880,0.14770567729444917
836,0.14761621859877572
73,0.14601273349077903
918,0.1457899792011128
420,0.1450324381856154
2131,0.1449464971012011
541,0.14370011920087045
694,0.14310280919506102
1828,0.14248551507918528
596,0.14248198075517893
1310,0.14242730916605106
960,0.1417392493362013
923,0.14156634047947847
2092,0.14126871025723897
363,0.14101234810048302
2373,0.14074762031434673
1003,0.13957581172264355
618,0.1394067192718511
818,0.13931504300006026
711,0.1391077089161321
270,0.1378765575601375
1108,0.13763319327899826
765,0.13684964902839525
772,0.13666626137408855
1655,0.13608267740587632
833,0.13546152196955896
2333,0.13515255099845458
887,0.13486737401314652
439,0.13468363377792558
322,0.13411626769812468
5,0.13283483550081332
359,0.132833052079131
1006,0.13268681322321552
1704,0.13230419868622478
82,0.13176392768107803
1255,0.13115752923719182
1664,0.1309087869874368
1292,0.12927220096355097
1476,0.12873639298382944
2054,0.128326999217919
2530,0.1283013009621814
463,0.12817445789904713
2030,0.12585846820405067
741,0.12563266102673065
367,0.12490327874217799
822,0.12414063711102896
1355,0.1237455988118139
2277,0.12322101510316141
883,0.12307943075812666
2229,0.12282913108264326
125,0.12204130711154582
841,0.12163020728431206
2264,0.12153769401611214
865,0.11990476237391334
352,0.11958270925307879
2082,0.11946311231362605
1167,0.11906542331187175
875,0.11901343926511743
113,0.11893648593631712
1222,0.11846059481826687
835,0.11842676084170067
2364,0.11798540282351766
2222,0.11732923424198383
566,0.11691383553758206
1428,0.11676099790994421
167,0.11631078776387138
1069,0.11563199057376927
494,0.11557575611634086
1323,0.11543009653724567
564,0.11534929422911144
224,0.11532312180964066
839,0.11430007235161765
731,0.11412760354008888
131,0.11399352679257468
184,0.1139243154149927
626,0.11384869865824676
1569,0.11331693113670127
2214,0.11307981516597998
1820,0.11291042945828877
1201,0.11278868813419729
2151,0.11263401101089832
