,MI Scores
2162,0.45014541506641925
1719,0.44973195811879285
354,0.44890332353565143
600,0.44804818547762837
733,0.44748632287643253
1694,0.4471830748707235
1947,0.44689758773234645
848,0.4387122226781648
1509,0.43871044473500564
1293,0.43866845189403825
1599,0.4370123292181374
2072,0.435892806537886
539,0.43532023893898186
2261,0.43522408279821945
2199,0.43288099167268657
2337,0.4300446304702885
955,0.42842779568096523
445,0.4245922507120503
633,0.42351456242658747
1302,0.422490008762753
1249,0.41995273382750176
254,0.41480997945148745
2597,0.4109738670630585
894,0.40696506447882097
2648,0.4064631852109235
444,0.4062946118155195
590,0.40496381663702197
972,0.4019720073711066
1774,0.40196382450897916
377,0.4012033840347313
2058,0.40104662685326864
2091,0.4003477141198919
2514,0.39952098666023383
2341,0.39636129901728
1291,0.39460857071535727
2227,0.3943151553635571
1077,0.39186407551986724
130,0.3908773408637438
227,0.3903434071441725
1094,0.3890869446930898
1611,0.38834036852743425
2500,0.385488075067409
698,0.38467453003910057
1250,0.38453473456801723
2355,0.3826235516157239
429,0.3825531673077305
1586,0.38210175640293587
721,0.38037397096233105
391,0.37708191439244754
1778,0.37699067136068565
757,0.37626480680220675
1010,0.37473840111970746
518,0.3733954757842304
1911,0.36705881332985424
719,0.36704251297019375
2279,0.3662537048769925
1469,0.3599563183052703
1635,0.3588740939688668
1059,0.3483362790346971
1198,0.3473906732535641
2481,0.34554951315684246
1909,0.3455065736123393
35,0.34411298559483017
2005,0.34126480742374943
617,0.34072889988587796
1214,0.3378223370883515
135,0.337548644288846
569,0.33623923904932385
2572,0.33588921754313694
804,0.3348553441730997
692,0.33466401528764234
2220,0.33278826071159084
116,0.3325622636070835
1718,0.3323907805060755
2159,0.33193572111873726
1,0.3317483961727683
645,0.32793010646196286
1197,0.3254071796906479
1871,0.32106785887082245
855,0.3190739337192956
2453,0.31904968191943417
1043,0.3158570529152067
388,0.31521456218115396
2049,0.31446371584298793
2035,0.3127766731816308
326,0.31264351708587945
723,0.3117190733645221
14,0.3116050279138278
281,0.3067547866988227
889,0.3067123448655811
858,0.3065237585798286
514,0.3059307740227948
139,0.3047322743564611
755,0.30449742104469557
658,0.3043378470191165
621,0.30302307852166344
834,0.2998369237284333
402,0.29918423816341777
2494,0.299098244587805
278,0.29749578249782616
1216,0.29693069620303625
1963,0.29055359183941754
2068,0.2889281490223059
2234,0.2889106320157335
2547,0.2858766708397882
1473,0.28509485646757327
895,0.281866578057429
1498,0.28104170328927935
1752,0.2807754194736449
1504,0.2804009464489394
399,0.2802422382875882
190,0.27962632268319787
1317,0.27567210617940363
2306,0.2753164614744392
63,0.27339293789858843
2397,0.27229059066949635
1075,0.2720036226583731
1689,0.2715551850855178
666,0.2715493374364528
2581,0.26422529577503795
2445,0.26377568838718624
1308,0.262304509456456
296,0.2614565446304544
708,0.26107832372249407
2493,0.25971790030665076
1026,0.25669652651221764
594,0.25559315967645047
1884,0.2554954485104388
1241,0.2551089360123111
1695,0.2546937027663625
2206,0.2541724650803059
404,0.25319165440135327
1306,0.2522494423146462
387,0.2502794429081394
2161,0.24580404857332283
931,0.24562490493677913
984,0.24527620858548405
1205,0.24484721334215642
2009,0.2447003692387728
1127,0.24457482795051444
300,0.24218073511328697
2235,0.24209182465585632
1687,0.24201597483612547
182,0.2399957566580686
74,0.23776607121043103
68,0.23715207996280396
2634,0.23273109308352424
1240,0.23212716232010022
1510,0.23199271438716496
914,0.23132770962723903
1316,0.22891718586910326
2416,0.22789462887187018
192,0.22742405607794636
234,0.22722864463795078
397,0.22722628929107502
923,0.22694100569547526
949,0.22649907089794175
321,0.22424332403123337
420,0.2236824546540439
2387,0.2232471330971375
1004,0.22289111801846717
916,0.22113425550148635
1709,0.22096347074809009
411,0.22088211991150697
2399,0.21858495010614476
241,0.21799677484919622
550,0.2178165185009111
219,0.21742876387320642
491,0.2138332075143765
1003,0.21370561774724095
2226,0.2128425723329972
1868,0.21027719931735112
1310,0.2102178756934734
2357,0.20993570128515948
1070,0.20779825973469146
2390,0.2073374479836616
1557,0.2072566908524136
2374,0.20633539989841765
2458,0.20515634996460186
2471,0.2047011057347925
151,0.20255541760357376
69,0.20230870003202384
597,0.20056660460491393
1715,0.19837470596937168
367,0.1979223896588178
833,0.1931152779437979
1577,0.19296930730195472
1256,0.19278165152298632
1763,0.1919612827429873
731,0.1910316294679233
568,0.1865127528451258
163,0.18420361357558157
1748,0.18247526575743844
676,0.18165443471641174
447,0.17937471649700765
1820,0.17580860015584943
1164,0.1742441309632885
1536,0.1740451810331889
3,0.17365508481723957
2418,0.17272998170299037
954,0.17249208318820308
398,0.17236136653859235
1236,0.17100665751035216
711,0.16973484368816427
334,0.1696205003518232
974,0.16891133244912027
1122,0.16835527519894455
1255,0.16751680751874565
2170,0.16701831874681305
761,0.16627116707727474
2092,0.1650239015500139
2373,0.1642499448111998
1686,0.16417110211542862
1858,0.16332761365270132
2224,0.16278270364813396
592,0.16268601655674608
1123,0.16217730013845877
881,0.1620184890337204
1299,0.16020440804530267
1102,0.15919005382671658
694,0.15903962413555384
390,0.15653680444183538
1006,0.15578631824042333
421,0.1552050410488679
702,0.1541944544697338
995,0.15369397067873924
883,0.15301557972804636
1927,0.15210311927096543
2333,0.15022247170938874
2059,0.14997600573262915
376,0.14923531106785592
685,0.14922926669276748
416,0.1490430935721001
71,0.14902063158824586
359,0.148843437765807
